"No.","Corpus","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"13","wikipedia","2024-07-01","Wissenschaft","Homeworld: Deserts of Kharak. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246348680","Das Spiel wurde auf Basis der Unity-Engine","programmiert","."
"14","wikipedia","2024-07-01","Wissenschaft","Hoe het danst. In: Wikipedia: Die freie Enzyklopädie. 01.07.2024.","https://de.wikipedia.org/w/index.php?oldid=246366363","Geschrieben , produziert und","programmiert","wurde das Lied gemeinsam von Armin van Buuren , John Ewbank und Benno de Goey ."
"15","wikipedia","2024-06-30","Wissenschaft","Computerspiel. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246333724","Bei der Produktion eines Computerspiels wird entweder eine neue Game-Engine","programmiert","– bis Mitte der 1990er war das fast immer der Fall – oder aber eine bereits bestehende lizenziert und evtl. modifiziert genutzt , wodurch die Produktionsdauer verkürzt werden kann ."
"16","wikipedia","2024-06-30","Wissenschaft","Eurofighter Typhoon. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246327110","In diesem Jahr stand auch das DASS und Link 16 zur Verfügung , sodass bis 2004 die Sensorfusion fertig","programmiert","werden konnte ."
"17","wikipedia","2024-06-30","Wissenschaft","Eurofighter Typhoon. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246327110","Einschlagwinkel und Zündmodus der Paveway IV kann durch den Piloten","programmiert","werden ."
"18","wikipedia","2024-06-30","Wissenschaft","Nancy. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246339938","Seit 2011 leitet Petter Jacobsson die Kompanie und","programmiert","regelmäßig international gefeierte Choreografen wie Trisha Brown , Twyla Tharp , Merce Cunningham , William Forsythe , Andonis Foniadakis oder Emanuel Gat ."
"19","wikipedia","2024-06-30","Wissenschaft","Bombardier Traxx. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246344483","Der Bremsrechner der Lokomotiven ist so","programmiert",", dass er eine angeforderte Bremsverzögerung immer zunächst mit der elektrischen Bremse zu erreichen versucht , erst wenn diese nicht ausreicht , nimmt er die Druckluftbremse zu Hilfe ."
"20","wikipedia","2024-06-30","Wissenschaft","In der Strafkolonie. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246332820","Er","programmiert","die Maschine nicht mit einem Gesetzestext , der ihm auf den Leib tätowiert werden soll , sondern mit der Forderung „ Sei gerecht “ ."
"21","wikipedia","2024-06-30","Wissenschaft","Propofol. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246324160","Mit computergesteuerten Spritzenpumpen , die mit pharmakokinetischen Daten des Propofols","programmiert","sind , kann die Infusionsgeschwindigkeit so gestaltet werden , dass der Blutspiegel des Wirkstoffs konstant bleibt oder dass der Anästhesist die Dosierung schnell ändern kann ( TCI = „ target controlled infusion “ ) ."
"22","wikipedia","2024-06-30","Wissenschaft","Abgasnorm. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246329182","Am 20. September 2015 gab Volkswagen nach Ermittlungen der EPA zu , das Motorsteuergerät von 11 Millionen Dieselfahrzeugen so","programmiert","zu haben , dass es eine Prüfsituation auf dem Rollenprüfstand erkennt und auf ein anderes Kennfeld umschaltet ."
"23","wikipedia","2024-06-30","Wissenschaft","Adblock Plus. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246321319","Im Gegenzug wurden unter anderem Skripte wie der Anti-Adblock-Killer","programmiert",", die die Werbeblocker-Erkennung auf den aufgeführten Websites aushebeln , so dass die Website trotz aktiviertem Adblock Plus benutzbar ist ."
"24","wikipedia","2024-06-30","Wissenschaft","Zotero. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246321002","Einige Stile sind für eine bestimmte Sprache","programmiert",", in anderen lässt sich die Sprache ( Locale ) einstellen , so dass zum Beispiel ein Standardstil wie der des Chicago Manual of Style auch in deutschen oder anderssprachigen Texten verwendet werden kann ."
"25","wikipedia","2024-06-30","Wissenschaft","Windows SideShow. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246333493","Ebenfalls ist eine API für .Net-Framework-Entwickler erschienen , die Vorlagen für Microsoft Visual Studio 2005/2008 zur Demonstration , wie man SideShow-Gadgets","programmiert",", enthält ."
"26","wikipedia","2024-06-30","Wissenschaft","Gymnasium St. Antonius. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246327176","Die « Gymi-App » wurde von Schülern im Zuge der Begabungsförderung für das iPhone","programmiert","und zeigt unter anderem Stundenpläne , News , den Menueplan der Mensa und einen Feriencountdown an ."
"27","wikipedia","2024-06-30","Wissenschaft","PlayStation 4. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246335868","Mit Erscheinen der Firmware-Version 4.5 am 9. März 2017 erhielt die PlayStation 4 Pro außerdem einen sogenannten „ Boost-Modus “ ( engl. „ Boost Mode “ ) zur Beschleunigung von Spielen , die ursprünglich für die PlayStation 4","programmiert","wurden ."
"28","wikipedia","2024-06-30","Wissenschaft","Adobe PhoneGap. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246327594","Das eigentliche Plugin muss für das jeweilige Betriebssystem separat","programmiert","werden , da es wie im vorgenannten Beispiel ja Socket-Verbindungen zum Telefon-Server herstellen muss ."
"29","wikipedia","2024-06-30","Wissenschaft","Malaysia-Airlines-Flug 370. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246340166","Es bestehe außerdem die Möglichkeit , dass der Autopilot so","programmiert","war , dass Flugrouten und / oder Wegpunkte gekreuzt oder durchquert wurden , die auf Flughäfen entweder in Australien oder auf den Kokosinseln endeten ."
"30","wikipedia","2024-06-30","Wissenschaft","Malaysia-Airlines-Flug 370. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246340166","Auch die Radardaten legen nahe , dass das Flugzeug nach der Kursänderung mindestens den Wegpunkt VAMPI passiert und eventuell weitere Punkte angesteuert hat , die im Flight Management System nacheinander oder auf einmal","programmiert","werden können ."
"31","wikipedia","2024-06-30","Wissenschaft","BBC micro:bit. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246327464","Das Gerät ist als Einplatinencomputer auf der Basis eines ARM-Mikrocontrollers realisiert und kann mittels verschiedener webbasierter Entwicklungsumgebungen","programmiert","werden ."
"32","wikipedia","2024-06-30","Wissenschaft","Roblox. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246337672","So können auf relativ einfache Weise Spiele","programmiert","werden ."
"33","wikipedia","2024-06-30","Wissenschaft","Fridays for Future. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246336715","Und der Streit mit den Eltern beim geplanten Kauf eines SUV ist","vorprogrammiert","“ ."
"34","wikipedia","2024-06-30","Wissenschaft","Geheime Mission auf Celtris Drei. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246342554","Andererseits setzt er in kurzer Zeit so viele ( teilweise unnötige ) Veränderungen auf dem Schiff durch , dass Konflikte","vorprogrammiert","sind ."
"35","wikipedia","2024-06-30","Wissenschaft","Geschichte des SignWriting. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246343843","Im Mai 1988 erschien das SignBank I-Desk Accessory für den Macintosh für „ Word-Sign“-Wörterbücher ,","programmiert","von Michael Ogawa ."
"36","wikipedia","2024-06-30","Wissenschaft","Geschichte des SignWriting. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246343843","SignWriter 4.4 wurde im Jahr 2000","programmiert","."
"37","wikipedia","2024-06-30","Wissenschaft","Geschichte des SignWriting. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246343843","Die SignPuddle-Wörterbücher und andere SignPuddle-Funktionen einschließlich des SignText Editor-Programms , wurden von Stephen Slevinski entworfen und","programmiert","und stammen aus seiner ursprünglichen Website namens PUDL ( Pittsburgh United for Deaf Literacy ) , die von 2003 bis 2004 als separate Site im Web war ."
"38","wikipedia","2024-06-30","Wissenschaft","Geschichte des SignWriting. In: Wikipedia: Die freie Enzyklopädie. 30.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246343843","In diesem ersten Projekt „ delegs I “ ( 2009–2011 ) wurde die erste Fassung des delegs-Editors , nach einer Hospitation bei Stefan Wöhrmann ,","programmiert","."
"39","wikipedia","2024-06-29","Wissenschaft","Fasten. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246313582","Gemäß zugrundeliegender Hypothese ( auch genannt Differential Stress Resistance ) soll Fasten zu einer Stoffwechselreduktion gesunder Körperzellen führen , wogegen Krebszellen ausschließlich auf Wachstum","programmiert","sind ."
"40","wikipedia","2024-06-29","Wissenschaft","Klagenfurt am Wörthersee. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246313462","Das Jugendstiltheater Klagenfurt ist mit einem Fassungsvermögen von zehn Zusehern die kleinste Theaterbühne Österreichs und wird von VADA ( Verein zur Anregung des dramatischen Appetits ) mit Theaterstücken und Ausstellungen","programmiert","."
"41","wikipedia","2024-06-29","Wissenschaft","PC-Spiel. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246312453","Daher sind viele PC-Spiele für die auf PCs laufenden Betriebssysteme MS-DOS – und dazu kompatibles DOS wie PC DOS – der 1980er und 1990er Jahre , oder seit Mitte der 1990er Jahre für eine Version von Windows","programmiert","."
"42","wikipedia","2024-06-29","Wissenschaft","Tomb Raider. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246299532","Underworld wurde sie von Grund auf neu","programmiert","."
"43","wikipedia","2024-06-29","Wissenschaft","Figuren im Star-Trek-Universum. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246318349","Es basierte auf Captain Kathryn Janeway , Captain der USS Voyager , und wurde","programmiert",", um die Besatzung zu unterstützen und Ratschläge zu geben ."
"44","wikipedia","2024-06-29","Wissenschaft","Blu-ray Disc. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246317668","Diese Anwendungsschicht heißt BD-J und wird in einer Variante von Java","programmiert",", die auf einer Abwandlung der Multimedia Home Platform beziehungsweise GEM-Spezifikation ( Globally Executable MHP ) basiert ."
"45","wikipedia","2024-06-29","Wissenschaft","Wirecard. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246316697","Im Anschluss scheiterte ein intern als Wirecard 2.0 bezeichnetes Projekt , in dem die gesamte Plattform neu","programmiert","werden sollte , nachdem Marsalek den Vorstand nicht über Probleme unterrichtet hatte , was Kosten von 2 Mio. DM verursacht haben soll und die Existenz des Unternehmens bedrohte ."
"46","wikipedia","2024-06-29","Wissenschaft","AntMe!. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246317424","Die „ Spielwiese “ , in der man sich bewegt und","programmiert",", ist bereits eine eigens von AntMe! entwickelte , das Ameisenvolk repräsentierende , Klasse von C# ."
"47","wikipedia","2024-06-29","Wissenschaft","Black Ice (Album). In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246316318","Das Video zur Single Rock 'n' Roll Train wurde als erstes überhaupt in ein Excel-Makro","programmiert","und zur Verfügung gestellt ."
"48","wikipedia","2024-06-29","Wissenschaft","Abschalteinrichtung. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246300438","Derartige Abschalteinrichtungen bestehen aus einer Kombination von einer Zykluserkennung unter Verwendung mindestens einer Messeinrichtung oder eines Timers in einem Steuergerät ( etwa auf Dauer des Fahrzyklus","programmiert",") und der eigentlichen Abschaltfunktion , die auf ein Stellglied einwirkt , die in das Emissionskontrollsystem des Fahrzeugs eingreift ."
"49","wikipedia","2024-06-29","Wissenschaft","Abschalteinrichtung. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246300438","Ist die Abschalteinrichtung so","programmiert",", dass die „ Wirksamkeit des Emissionskontrollsystems unter Bedingungen , die bei normalem Fahrzeugbetrieb vernünftigerweise zu erwarten sind , verringert wird “ , ist sie in der EU grundsätzlich unzulässig ( sogenannte Schummelsoftware ) ."
"50","wikipedia","2024-06-29","Wissenschaft","The Rising of the Shield Hero. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246308579","Am 27. April 2019 erschien in Japan eine Demo zum Videospiel zu Tate no Yūsha no Nariagari , welches mit Mithilfe des RPG Maker MV","programmiert","wurde ."
"51","wikipedia","2024-06-29","Wissenschaft","Achterbahn (Lied). In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246310616","Abgemischt , produziert und","programmiert","wurde das Stück durch das Produzenten-Trio Madizin ( bestehend aus Patrick Benzner , Dave Roth und Serhat Sakin ) ."
"52","wikipedia","2024-06-29","Wissenschaft","ETCS-Bremskurven. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246314687","Auf der Schweizer ETCS-Level-2-Pilotstrecke Zofingen–Sempach , die nach vorläufigen Festlegungen von 1998 ausgerüstet und im April 2002 in Betrieb genommen wurde , wurden mehrere spezielle Bremskurven","programmiert","."
"53","wikipedia","2024-06-29","Wissenschaft","John A. McDougall. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246300360","Genetisch sei der Mensch auf Stärkeernährung","vorprogrammiert","."
"54","wikipedia","2024-06-29","Wissenschaft","AI-Alignment. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246295748","Obwohl das Streben nach Macht nicht explizit","programmiert","ist , kann es als emergentes Ziel entstehen , weil Akteure , die über mehr Macht verfügen , ihre Ziele besser erreichen können ."
"55","wikipedia","2024-06-29","Wissenschaft","AI-Alignment. In: Wikipedia: Die freie Enzyklopädie. 29.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246295748","Ein solches machtorientiertes Verhalten ist nicht explizit","programmiert",", sondern entsteht , weil Macht für das Erreichen einer Vielzahl von Zielen förderlich ist ."
"56","wikivoyage","2024-06-29","Gebrauchsliteratur","Kairo. In: Wikivoyage. 29.06.2024.","https://de.wikivoyage.org/w/index.php?oldid=1625317","Ansonsten ist Streit beim Ausstieg","vorprogrammiert","."
"57","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Eine Software , die von den Anwendern als zu langsam empfunden wird , ist meist nur schlecht","programmiert","."
"58","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Dies ist bei modernen Laufzeitsystemen in der Regel aber nicht mehr so relevant , und diese mehrfachen Verzweigungen können auch immer durch mehrfache Fallunterscheidungen","programmiert","werden ."
"59","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Dies gewinnt besonders dann Bedeutung , wenn das Unterprogramm an verschiedenen Stellen aufgerufen werden soll , so dass dann diese Programmanweisungen nicht mehrfach","programmiert","oder kopiert werden müssen ."
"60","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Die mehrfach eingegebenen Programmanweisungen zur Berechnung des Kreisumfangs werden beim Auftreten von Codewiederholung an drei Stellen des Quelltextes","programmiert",":"
"61","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Liegt diese nicht vor , handelt es sich um eine Typverletzung , und es muss eine explizite Typumwandlung","programmiert","werden ."
"62","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Soll zudem auch noch eine Textausgabe erfolgen , kann diese zusätzlich","programmiert","werden :"
"63","wikibooks","2024-06-28","Gebrauchsliteratur","Strukturierte Programmierung. In: Wikibooks. 28.06.2024.","https://de.wikibooks.org/w/index.php?oldid=1037388","Bei Parametern mit eingeschränktem zulässigen Wertebereich kann eine allgemeine und an allen entsprechenden Stellen verwendbare Funktion","programmiert","werden , die den gültigen Wertebereich überprüft und einen entsprechenden ( häufig zweiwertigen respektive booleschen ) Funktionswert zurückgibt , wie zum Beispiel die folgende Funktion "" waterIsLiquid "" , die überprüft , ob die Wassertemperatur zwischen 0 ° und 100 ° Celsius liegt , bevor das spezifische Gewicht des Wassers berechnet werden darf :"
"64","wikipedia","2024-06-28","Wissenschaft","Tod. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246276644","Neben dem Tod durch Umwelteinflüsse ist aber zumindest bei einigen Arten , vermutlich aber weit verbreitet oder sogar universell , der Tod auch bei Einzellern unter bestimmten Bedingungen genetisch „","programmiert","“ ."
"65","wikipedia","2024-06-28","Wissenschaft","Wolfenstein 3D. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246287815","Die Macintosh-Umsetzung wurde von William „ Bill “ Heineman basierend auf der SNES-Umsetzung","programmiert","."
"66","wikipedia","2024-06-28","Wissenschaft","Duke Nukem 3D. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246286638","Die Entstehung dieser Version ist kontrovers ; 3D Realms bestreitet ihre Legitimation , während TecToy , die die Umsetzung","programmiert","und vertrieben haben , behaupten , die Erlaubnis von der Firma GT Interactive , welche die anderen Konsolen-Versionen vertrieben hat , erhalten zu haben ."
"67","wikipedia","2024-06-28","Wissenschaft","Firmware. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246288126","Nachdem die entsprechenden Chips beim OEM anwendungsspezifisch","programmiert","( früher gebrannt ) sind , ist aus der Firmware de facto Hardware geworden ."
"68","wikipedia","2024-06-28","Wissenschaft","Animorphs. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246289848","Die Djee sind auf Pazifismus","programmiert","."
"69","wikipedia","2024-06-28","Wissenschaft","Animorphs. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246289848","Da die Djees unverwundbar sind und unbegrenzt Widerstand gegen die Yirks leisten könnten , jedoch auf Pazifismus","programmiert","wurden , bittet Erek die Animorphs darum , den Yirks den pemalitischen Kristall zu stehlen , mit dem die Yirks den leistungsfähigsten Computer der Welt bauen wollen und mit dem Erek sich umprogrammieren könnte ."
"70","wikipedia","2024-06-28","Wissenschaft","Renoise. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246281762","Renoise wurde und wird zum größten Teil von Demoszenern","programmiert","und verbessert ."
"71","wikipedia","2024-06-28","Wissenschaft","FloAt’s Mobile Agent. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246283172","Das Programm wird in Delphi geschrieben , Teile werden mit Visual Basic Script","programmiert","."
"72","wikipedia","2024-06-28","Wissenschaft","FloAt’s Mobile Agent. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246283172","Die Steuerung der Programme wird im VBScript","programmiert",", mit entsprechenden Kenntnissen kann man dieses Menü auch mit weiteren Funktionen erweitern ."
"73","wikipedia","2024-06-28","Wissenschaft","Green Beret (Computerspiel). In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246288181","Die ZX-Spectrum-Version sei aber grafisch detailliert und technisch sauber","programmiert","und werde trotz des makaberen Spielprinzips „ seine Freunde finden “ ."
"74","wikipedia","2024-06-28","Wissenschaft","Tomb Raider IV: The Last Revelation. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246277491","Die Figur Laras sei zwar geschmeidiger als die des Protagonisten in Indiana Jones und der Turm von Babel","programmiert",", dennoch fand Austinat , dass der vierte Teil der Tomb-Raider-Reihe „ trotz aller grafischer Polierarbeit “ nicht an die Atmosphäre des Konkurrenten herankomme ."
"75","wikipedia","2024-06-28","Wissenschaft","Abas Business Suite. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246292703","Diese Anpassungen bleiben , wenn sauber","programmiert","wird , bei Updates erhalten ."
"76","wikipedia","2024-06-28","Wissenschaft","Präsidentschaftswahl in den Vereinigten Staaten 2016. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246288100","Am MIT wurde ein Twitterbot","programmiert",", der typische Trumptweets imitieren soll ."
"77","wikipedia","2024-06-28","Wissenschaft","Atemlos durch die Nacht. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246277867","Die Single wurde von Jean Frankfurter produziert und","programmiert","und bei Polydor veröffentlicht ."
"78","wikipedia","2024-06-28","Wissenschaft","Quizduell (Fernsehsendung). In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246269598","Im Dezember 2014 gab die ARD bekannt , dass die App für die kommende Ausstrahlung neu","programmiert","wurde , um die technischen Probleme zu beseitigen ."
"79","wikipedia","2024-06-28","Wissenschaft","EMT Luna NG. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246288219","Die Flugroute wird vor dem Start","programmiert",", kann aber auch während des Flugs von der Bodenstation geändert werden ."
"80","wikipedia","2024-06-28","Wissenschaft","Auflösung des Deutschen Bundes. In: Wikipedia: Die freie Enzyklopädie. 28.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246276553","Noch im Jahr 1865 war der Krieg zwischen Österreich und Preußen „ durchaus nicht zwangsläufig","vorprogrammiert","“ , so Jürgen Angelow ."
"81","wikipedia","2024-06-27","Wissenschaft","Java (Programmiersprache). In: Wikipedia: Die freie Enzyklopädie. 27.06.2024.","https://de.wikipedia.org/w/index.php?oldid=246266715","Apps für das Android-Betriebssystem von Google werden in der hier beschriebenen Sprache Java","programmiert",", basieren aber auf einer abweichenden Klassenbibliotheks-API ."
